cab_id,entropy,total_records,unique_locations,most_frequent_location,location_diversity,entropy_quartile,segment
iafstnue,10.854605370984952,22816,3950,37.752_-122.394,0.17312412342215988,Q3,High Mobility (Explorer)
iaggrijo,10.87506489052233,18484,4360,37.616_-122.386,0.23587967972300367,Q4 (High),High Mobility (Explorer)
iagods,9.738263319129665,4315,1651,37.755_-122.403,0.38261877172653536,Q1 (Low),Low Mobility (Routine)
iahorou,10.475942049361816,16404,3203,37.751_-122.395,0.19525725432821264,Q2,Low Mobility (Routine)
iapberci,10.563904579051295,23604,4213,37.752_-122.394,0.1784866971699712,Q2,Medium Mobility
iatmeuns,10.17254191072027,14345,3352,37.792_-122.417,0.23367026838619728,Q1 (Low),Low Mobility (Routine)
iatojbo,10.92540926659946,21533,4000,37.751_-122.395,0.1857613894951934,Q4 (High),High Mobility (Explorer)
iawxben,9.783166944253455,26244,4210,37.616_-122.386,0.1604176192653559,Q1 (Low),Low Mobility (Routine)
ibflsruc,10.808386199716827,25422,4152,37.752_-122.394,0.16332310597120603,Q3,Medium Mobility
ibgryk,10.218253663269625,21608,3977,37.751_-122.395,0.18405220288781932,Q1 (Low),Low Mobility (Routine)
iblool,10.640784817094262,18811,3498,37.616_-122.386,0.1859550263143905,Q2,Medium Mobility
ibpijda,10.860226752614093,23801,4150,37.751_-122.395,0.1743624217469854,Q4 (High),High Mobility (Explorer)
ibwicim,10.858802691427243,18964,3978,37.785_-122.414,0.20976587217886522,Q3,High Mobility (Explorer)
